滔	thao
滕	đằng
滙	hối
滛	dâm
滫	tưu
滬	hỗ
薇	vi
薈	oái
薊	kế
薌	hương
薏	ý
薐	lăng
薑	khương
薓	sâm
薔	sắc
薘	đạt
薙	thế
薛	tiết
薜	bệ
薝	đảm
薟	hiêm
薢	giải
薤	giới
薦	tiến
薧	hảo
薨	hoăng
薩	tát
薪	tân
薯	thự
薰	huân
薶	mai
薷	nhu
薸	phiêu
薹	đài
薻	tảo
藁	cảo
藂	tùng
藉	tạ
藊	biển
藍	lam
藎	tẫn
藏	tàng
藐	miểu
藕	ngẫu
藜	lê
藝	nghệ
藟	luỹ
藤	đằng
藥	dược
藩	phiên
藪	tẩu
藭	cùng
藳	cảo
藶	lịch
藷	thự
藹	ái
藺	lận
辞	từ
辟	tích
辠	tội
辡	lạt
辢	lạt
辤	từ
辥	tiết
辦	bạn
辨	biện
郿	mi
韻	vận
響	hưởng
頁	hiệt
頂	đính
黟	y
黠	hiệt
黥	kình
黦	uất
黧	lê
黨	đảng
黯	ảm
黰	chẩn
黴	mi
黶	yểm
黷	độc
黹	chỉ
黻	phất
黼	phủ
黽	mãnh
辭	từ
辮	biện
辯	biện
辰	thần
辱	nhục
農	nông
辳	nông
辵	sước
迂	vu
迄	hất
迅	tấn
过	quá
迍	truân
迎	nghênh
近	cận
迓	nhạ
返	phản
迕	ngỗ
还	hoàn
迢	điều
劾	hặc
勁	kính
勃	bột
勅	sắc
勇	dũng
勉	miễn
勑	lai
勒	lặc
動	động
勖	úc
勗	úc
勘	khám
務	vụ
勛	huân
勝	thắng
勞	lao
募	mộ
勠	lục
勢	thế
勣	tích
勤	cần
勦	tiễu
勩	duệ
勰	hiệp
勲	huân
勵	lệ
勷	nhương
勸	khuyến
勹	bao
勺	múc
勻	quân
勾	câu
勿	vật
匃	cái
包	bao
匆	thông
匈	hung
匊	cúc
北	bắc
匣	hạp
匪	phỉ
匭	quỹ
匯	hối
匱	quỹ
匳	liêm
匵	độc
匸	hệ
匹	thất
匾	biển
匿	nặc
區	khu
十	thập
千	thiên
卄	nhập
卅	tạp
升	thăng
午	ngọ
卉	huỷ
半	bán
卋	thế
卌	tấp
卐	vạn
卑	ti
卒	tốt
卓	trác
協	hiệp
南	nam
博	bác
卜	bốc
卞	biện
占	chiêm
卡	tạp
卣	dữu
卦	quái
卩	tiết
卬	ngang
卭	ngang
卮	chi
卯	mão
印	ấn
危	nguy
卲	thiệu
即	tức
却	ngang
卵	noãn
卷	quyển
卸	tá
卹	tuất
卺	cẩn
卻	khước
卽	tức
卿	khanh
厂	hán
厄	áchngoả
厎	chỉ
厓	nhai
厔	chất
厖	mang
厘	li
厙	xá
厚	hậu
厝	thố
原	nguyên
厠	lịch
厤	lịch
厥	quyết
厦	hạ
厨	trù
厩	cứu
厪	cận
厫	ngao
厭	yếm
厮	tư
厰	xưởng
厲	lệ
厴	áp
厶	khư
厺	khứ
去	khứ
參	tham
叅	Tham
又	hựu
叉	xoa
及	cập
友	hữu
双	song
反	phản
叔	thúc
取	thủ
受	thụ
叙	tự
叚	giả
叛	bạn
叟	tẩu
叠	điệp
叡	duệ
叢	tùng
口	khẩu
古	cổ
句	cú
台	thai
叱	sất
史	sử
嚚	ngân
嚥	yết
嚦	lịch
嚨	lung
叧	lánh
叨	thao
叩	khấu
只	chỉ
叫	khiếu
召	triệu
叭	bá
叮	đinh
可	khả
右	hữu
叵	phả
叶	hiệp
号	hiệu
司	ti
吁	hu
吃	cật
各	các
合	hợp
吉	cát
吊	điếu
同	đồng
名	danh
后	hậu
吏	lại
吐	thổ
向	hướng
君	quân
吝	lận
吞	thôn
吟	ngâm
吠	phệ
否	phủ
吩	phân
吪	ngoa
含	hàm
吭	hàng
吮	duyện
吱	chi
吴	ngô
吵	sảo
吶	nột
吸	hấp
吹	xuy
吻	vẫn
吼	hống
吽	hồng
吾	ngô
