瞼 kiểm
盵 盵
瞴 瞴
眴 thuấn
盷 盷
盹 truân
睛 tình
瞡 瞡
睊 quyến
矂 矂
眠 miên
矚 chúc
眧 眧
眲 眲
眶 khuông
瞙 瞙
矇 mông
瞨 瞨
眹 trẫm
瞞 man
瞱 瞱
眻 眻
矔 矔
瞄 miểu
朏 phỉ
胐 胐
矊 矊
眑 眑
鼎 đỉnh
睩 睩
睏 khốn
矓 lung
瞇 mị
睟 túy
瞳 đồng
瞕 瞕
瞝 瞝
盳 盳
眩 huyễn
妥 thỏa
墾 khẩn
鸚 anh
膷 膷
奚 hề
郻 郻
腞 腞
懇 khẩn
臘 lạp
腦 não
膕 膕
胭 yên
胛 giáp
腢 腢
爵 tước
臅 臅
腲 腲
膃 ột
腮 tai
丹 đan
腿 thối
膼 膼
朧 lông
膀 bàng
鴅 鴅
彤 đồng
肮 khảng
膇 膇
肪 phương
膱 膱
膟 膟
肺 phế
刐 刐
脺 tụy
腋 dịch
臄 cược
臚 lư
脝 hanh
腤 腤
朣 朣
膧 膧
雘 hoạch
臆 ức
臃 ung
胘 胘
胲 cai
膻 thiên
臍 tề
金 kim
鈤 鈤
錩 錩
鎤 鎤
鉭 鉭
鍚 dương
銲 hãn
鍉 鍉
甑 tắng
鍆 鍆
鄫 鄫
鑭 鑭
錫 tích
錕 錕
鍻 鍻
鎉 鎉
鑤 bào
鈀 ba
銀 ngân
鏝 man
鈅 鈅
錋 錋
鑀 鑀
鍋 oa
鍘 trát
鋝 luyệt
錭 錭
鍕 鍕
鉏 sừ
鍰 hoàn
銅 đồng
鋤 sừ
錚 tranh
鋼 cương
鉬 鉬
鋇 bối
钁 quắc
鋧 鋧
鑫 hâm
鈆 duyên
銻 đễ
鋊 鋊
鉛 duyên
銳 duệ
鈖 鈖
釮 釮
鈹 phi
鈌 quyết
鋉 鋉
缽 bát
鍏 鍏
錸 錸
鍊 luyện
錔 thạp
鐋 thảng
鎟 鎟
錣 錣
鎃 鎃
釵 sai
鈥 鈥
銷 tiêu
鎖 tỏa
鏿 鏿
钂 đảng
鏜 thang
鋿 鋿
鎲 đảng
鐺 đang
銤 銤
鏻 鏻
錟 錟
鑅 鑅
鐒 鐒
鈔 sao
銧 銧
鉡 鉡
錈 錈
釷 thổ
錂 錂
錴 錴
銈 銈
鐃 nao
鉣 鉣
鎑 鎑
鑄 chú
鋕 鋕
銡 銡
鎱 鎱
鉑 bạc
錦 cẩm
鍠 鍠
鉌 鉌
鏼 鏼
鍬 thiêu
鋓 鋓
銹 tú
鐇 鐇
鈑 鈑
鋒 phong
鉻 鉻
鉖 鉖
銩 銩
鋯 鋯
銑 tiển
鵜 đề
鳻 鳻
鑗 鑗
釤 sám
鉚 鉚
鎦 鎦
銖 thù
鍛 đoán
鍾 chung
錘 chùy
銛 tiêm
鍎 鍎
鍤 tráp
鑕 chất
剃 thế
釽 釽
頒 ban
釿 釿
銗 銗
釩 釩
邠 bân
鉛 duyên
攽 bân
鏦 thung
錉 錉
鋨 鋨
鉎 鉎
鐵 thiết
鎢 鎢
鑽 toản
鎳 niết
鎴 鎴
鈲 鈲
錍 錍
鎞 bề
鎪 sưu
銵 銵
公 công
鋃 lang
鎛 bác
鋑 鋑
鏚 鏚
銊 銊
鉾 鉾
鍼 châm
鋮 鋮
鈗 鈗
錢 tiền
鏒 鏒
鎯 鎯
鋪 phô
鉥 thuật
銶 銶
鈸 bạt
鏞 dong
鏮 鏮
銂 銂
鎕 鎕
頌 tụng
瓮 úng
銢 銢
釴 釴
鑣 tiêu
鉽 鉽
鋱 鋱
鈶 鈶
翁 ông
礦 quáng
鐮 liêm
鍍 độ
鏣 鏣
鉞 việt
鏕 鏕
針 châm
鎮 trấn
鋍 鋍
鎍 鎍
鎔 dong
鐵 thiết
鏄 鏄
鏸 鏸
鍺 鍺
鋐 鋐
銠 銠
銬 khảo
鑌 tấn
鏔 鏔
錝 錝
鍹 鍹
錠 đĩnh
鎵 鎵
鋎 鋎
鋺 鋺
鉈 鉈
鑏 鑏
鈷 cổ
錧 quản
鐼 鐼
鑳 鑳
銨 銨
父 phụ
釱 釱
爸 bả
銪 銪
鎩 sát
鐐 liêu
鎩 sát
鍷 鍷
斧 phủ
鈜 鈜
鈦 鈦
錛 錛
鈽 bố
銌 銌
錼 錼
釜 phủ
錡 kĩ
銙 銙
銕 銕
釚 釚
爹 đa
鋏 kiệp
爺 da
丫 nha
鉠 鉠
鈂 鈂
釧 xuyến
鏤 lũ
鐀 鐀
銚 diêu
釗 chiêu
鐨 鐨
鈾 do
鏽 tú
釭 công
銆 銆
鑐 鑐
顉 顉
鐳 lôi
釪 釪
鑈 鑈
鋄 鋄
銔 銔
鈺 ngọc
鑩 鑩
鶲 鶲
銍 銍
釬 hãn
鉶 hình
錏 錏
鋙 ngữ
釫 釫
鋠 鋠
釘 đinh
鈳 鈳
憌 憌
鉐 鉐
鎘 鎘
鋀 đậu
鈃 鈃
鉶 hình
鐕 鐕
鎒 鎒
鋞 鋞
兮 hề
鏢 phiêu
鐔 鐔
鉦 chinh
鈣 cái
釔 釔
鐌 鐌
銫 銫
釨 釨
錳 mạnh
鈕 nữu
鐍 quyết
鍒 鍒
鈒 鈒
釢 釢
錎 錎
釸 釸
鏹 cưỡng
鉹 鉹
銘 minh
鋌 đĩnh
鋋 鋋
鍵 kiện
鈏 鈏
弚 弚
弟 đệ
鐊 鐊
錒 錒
釕 釕
欽 khâm
鏺 鏺
鐙 đăng
鑱 sàm
鍑 鍑
鈉 nột
銝 銝
錐 chùy
鏶 鏶
鐎 tiêu
鎨 鎨
鐫 tuyên
銋 銋
鈴 linh
鑯 鑯
鈐 kiềm
鎗 sanh
鋡 鋡
鉓 鉓
鎀 鎀
螸 螸
鑰 thược
錀 錀
銓 thuyên
鐱 鐱
鉿 鉿
釳 釳
鎎 鎎
鍭 鍭
銼 tỏa
慾 dục
谷 cốc
鋂 鋂
鈊 鈊
鉍 鉍
釣 điếu
鉤 câu
鈞 quân
鈞 quân
鋾 鋾
鈚 鈚
鍇 khải
鉤 câu
鉋 bào
鍱 diệp
鈍 độn
鍧 鍧
銇 銇
鍥 khiết
鏏 鏏
錆 錆
錶 biểu
鈇 phu
釦 khẩu
鋗 鋗
鵒 dục
鋁 lữ
兌 đoái
谾 谾
谹 谹
豃 豃
郤 khích
欲 dục
谻 谻
谽 谽
懖 懖
鐰 鐰
鍔 ngạc
鍜 鍜
卻 khước
豂 豂
谼 谼
鐉 鐉
鋘 鋘
鈱 鈱
豅 豅
鏗 khanh
钃 钃
分 phân
貧 bần
炃 炃
坌 bộn
忿 phẫn
鉊 鉊
盆 bồn
弅 弅
岔 xóa
鑑 giám
鉺 鉺
鋷 鋷
鑷 nhiếp
鋸 cứ
鉔 鉔
鋟 tẩm
鏐 lưu
鉰 鉰
鑑 giám
鋹 鋹
鈮 鈮
鎷 鎷
鏂 鏂
鉅 cự
鋦 鋦
錯 thác
鏌 mạc
錪 錪
鏾 鏾
鐠 鐠
鏷 鏷
鎰 dật
鑮 鑮
鑆 鑆
鎂 mĩ
鑉 鑉
錓 錓
鑶 鑶
鉗 kiềm
鐠 鐠
錤 錤
鏵 鏵
鍖 鍖
鑊 hoạch
錵 錵
鎝 鎝
鐷 鐷
鎈 鎈
鑵 quán
鍣 鍣
鉼 鉼
鎙 鎙
鎡 tư
錨 miêu
鐏 tỗn
鎌 liêm
鑝 鑝
鋩 mang
釓 釓
鍐 鍐
毤 毤
錌 錌
鎧 khải
鑴 huề
鏙 鏙
敓 敓
釹 釹
鐑 鐑
鑠 thước
鐖 鐖
鉯 鉯
鏘 thương
錄 lục
銣 銣
鑞 lạp
錙 truy
鈿 điền
曾 tằng
錁 quả
鋰 鋰
錮 cố
銦 銦
鉀 giáp
鑼 la
鐲 trạc
鐸 đạc
鐶 hoàn
鍡 鍡
鍶 鍶
鏎 鏎
鏍 鏍
鑸 鑸
鉧 mẫu
釙 釙
鍗 鍗
鐹 鐹
鍞 鍞
钀 钀
鑨 鑨
鎊 bàng
鏑 đích
鉸 giảo
鐓 đối
鈙 鈙
鉒 鉒
鐽 鐽
鏟 sạn
鈧 鈧
鎚 chùy
鈁 鈁
銥 銥
錥 錥
銃 súng
鈄 鈄
鏈 liên
鏟 sạn
鈰 鈰
錹 錹
鐬 鐬
鉲 鉲
鏬 鏬
鐻 cự
鑢 lự
鐪 鐪
鑪 lô
鉆 kiềm
鎬 cảo
錞 thuần
鑲 tương
鏃 thốc
鏇 tuyền
鐘 chung
鋅 tân
鐩 鐩
鐿 鐿
鏡 kính
鉉 huyễn
鏀 鏀
鑇 鑇
木 mộc
杳 yểu
榥 榥
榯 榯
楣 mi
楖 楖
概 khái
查 tra
柦 柦
楊 dương
桿 can
橍 橍
櫚 lư
欄 lan
棍 côn
楬 kiệt
榻 tháp
杷 ba
根 căn
槾 槾
朿 朿
榠 榠
棚 bằng
榾 cốt
柵 sách
棎 棎
櫻 anh
棌 棌
棘 cức
棗 tảo
椆 椆
槄 槄
楎 楎
橪 橪
刺 thứ
柤 tra
椇 củ
楥 huyên
桐 đồng
桴 phù
僰 僰
榣 榣
棦 棦
棴 棴
柵 sách
棡 棡
相 tương
梖 梖
欋 欋
桵 桵
榽 榽
朳 朳
檭 檭
椕 椕
松 tùng
棇 棇
枍 枍
梯 thê
梲 chuyết
枌 phần
橧 tăng
林 lâm
楂 tra
栜 栜
鬱 uất
棼 phần
森 sâm
檚 檚
櫇 櫇
焚 phần
埜 dã
材 tài
柀 柀
彬 bân
梵 phạm
檒 檒
村 thôn
麓 lộc
枺 枺
樊 phiền
蠜 phàn
礬 phàn
攀 phàn
梀 梀
楋 楋
樕 樕
禁 cấm
農 nông
椲 椲
郴 sâm
楚 sở
棽 棽
棶 棶
懋 mậu
婪 lam
棟 đống
榃 榃
楝 luyện
棳 棳
桫 sa
杈 xoa
樑 lương
頗 pha
皯 皯
皰 pháo
杰 kiệt
梢 sao
橖 橖
欓 欓
樘 樘
橕 sanh
檔 đương
橉 橉
棪 棪
